XXXXXXXX-X	0523单位名称测试
78471014-9	四川玉树科技(集团)有限公司
74962896-7	南充市蚕业管理总站
222222222222	南充市政府研究室
79789445-0	南充市西湖塑料厂
69696175-5	南充裕丰包装有限公司
57525733-3	四川紫牛电子科技有限公司
71752175-1	南充市鹰派科技有限公司
73486247-8	南充出入境检验检疫局机关技术保障服务中心
59045461-8	四川万宇生物科技有限公司
452189844	南充市五星小学
66740420-6	南充市千年绸都第一坊酒业有限公司
45008025-0	蓬安县教研室
00878278-0	蓬安县科学技术局
45232816—2	四川省阆中中学校
452207563	南充市高坪区教师进修学校
452207563	南充市高坪教师进修学校
67142715-2	南充康健生物科技有限责任公司
95715012-8	高坪生产力促进中心
56070195-6	南充市大禹水务科技有限责任公司
68994511-8	四川海隆石油技术有限公司
57073191－3	南充富牌农机有限公司
56326904-6	南充九州核桃产业开发有限公司
59507248-3	南充市巨星化工有限责任公司
79184952-8	南充鑫原羽绒制品有限公司
91511302740012410p	四川德尔博睿科技股份有限公司
72082433-1	四川人本轴承有限公司
73341401-6	四川科茂种业有限公司
73833962-5	四川鼎兴食品工业有限公司
74468505-7	南充青峡谷生态农业科技开发有限公司
58649159-8	南充金富春丝绸有限公司
45218240-7	四川省南充市纤维检验所
74227085-1	南充市顺庆区质量技术学会
73484995-1	南充市高坪区南江乡国府香米合作社
05822212-4	四川省管塑达塑胶有限公司
45232795-2	阆中市人民医院
45218268-5	南充市疾病预防控制中心
G5610888-5	南充市土壤肥料站
45218256-2	南充市技工学校
45864797-3	蓬安县锦屏初级中学校
91511322673525151L	南充市营渔水产科技有限公司
749622530	四川南充赛克斯纺织有限责任公司
06445344-7	四川鑫达企业集团有限公司
45218281-0	南充卫生学校
915113027729901201	四川川北凉粉饮食文化有限公司
91511302570715681L	南充鑫盟科技有限公司
08072639-6	南充市高坪区青居镇益禾蔬菜专业合作社
91511304MA6297XWX0	四川尚好茶业有限公司
79584996-3	四川常灵食品有限公司
68041413-4	四川红鼎天辣椒产业有限公司
08073696-5	南江乡国府香米种植专业合作社
91511304MA6294F80C	南充尚好桑茶有限公司
56973877-1	四川九天真空科技股份有限公司
72322153-6	四川省南充东方红机械制造厂
9151132309900392M	四川兴华药业有限责任公司
91511323675756869L	南充兆庆机械制造有限公司
06236085-3	西充县遍地红辣椒开发有限责任公司
55579469-2	南充莱达生态科技有限公司
74465489-1	南充三兴味业有限公司
67837950-1	四川惠农机械有限责任公司
66538765-X	四川三鑫南蕾气门座制造有限公司
77984732-7	四川南部县聚力机械有限公司
75974388-9	四川省南部巨浪泵业有限公司
06235448-8	四川福芝康生物科技有限公司
55349978-8 	南充市永程电子科技有限公司
73342523-3	四川丰登种业有限公司
06031438-6	四川懋森生物科技有限责任公司
58218168-0	四川省来汇木业有限公司
09803039-7	南部县国生农业开发有限公司
91511300054140682A	四川本味农业产业有限公司
78229649-0	四川顺宇铸造有限公司
20980423-7	四川奥龙铸造材料有限公司
66744565-7	南充市老科技工作者协会
67350894-1	四川义丰亨汽车零部件制造有限公司
78666746-3	南充市嘉陵蚕茧有限公司
58646658-7	四川省渝源电器有限公司
5886498829	四川东阁科技有限公司
59276592-x	西充县金科种养殖有限公司
90945184-  X	四川省南充晶塔变压器有限公司
06895346－5	阆中市贵千年中药材有限公司
73485384-6	四川省阆中市锡刚油脂有限公司
74694634-5	四川省阆州醋业有限公司
915113816991770284	四川木兰郡生物科技有限公司
45218216-7	南充市环境科学研究院
06033422-1	四川通光光缆有限公司
91511321560711150K	四川兴凯丰密封件制造有限公司
915113006714481724	南充隆固机械工业有限公司
75230583-5	四川省南部新龙源管业有限公司
59046268-5	四川劲椹食品科技有限公司
62132512-3	南充市正达化工研究有限公司
00875043-9	南充市公安局
09317039-0	南充市聚福农业有限公司
915113000833540734	南充市华夏中天新型墙体材料有限公司
39935273-6	南充市老虎云网络技术有限公司
915113006922644958	四川远急中艺钢结构有限公司
67576548-2	蓬安三明机械有限公司
09907421-X	四川嘉科能源装备工程有限公司
09532093-8	南部县凯成农业有限公司
59508862-9	四川旺农现代农业开发有限公司
57073204-3	南充利宇机械制造有限公司
59508628-7	南充精益电子有限公司
915113023270698946	四川南充上智农业机械设备有限公司
07886362-3	南充柏华污水处理有限公司
59754572-3	南充市春雨园林花木产销中心
67353926-2	南充市东方园艺有限责任公司
67354065-0	四川易亨机械制造有限公司
55102038-2	中航工业南充可再生能源有限公司
91511300699165350Y	西充星河生物科技有限公司
45222150-9	南部县人民医院
G10511302002090700	中机国能（南充）热电有限公司
56565212-9	顺庆区天瑞养殖农民专业合作社
59049125-9	四川远衡现代农业投资有限公司
91511303MA6293MC5C	南充顺达橡塑制品厂
91511302MA6291C757	南充华塑建材有限公司
